iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI,,,,,
08/06/2021,M,30-39,SEVERO,391,,,,,
08/06/2021,M,40-49,ASINTOMATICO,15071,,,,,
08/06/2021,M,40-49,CRITICO,485,,,,,
08/06/2021,M,40-49,LIEVE,4761,,,,,
08/06/2021,M,40-49,PAUCI-SINTOMATICO,3916,,,,,
08/06/2021,M,40-49,SEVERO,787,,,,,
08/06/2021,M,50-59,ASINTOMATICO,15922,,,,,
08/06/2021,M,50-59,CRITICO,759,,,,,
08/06/2021,M,50-59,LIEVE,5111,,,,,
08/06/2021,M,50-59,PAUCI-SINTOMATICO,4458,,,,,
08/06/2021,M,50-59,SEVERO,1481,,,,,
08/06/2021,M,60-69,ASINTOMATICO,11095,,,,,
08/06/2021,M,60-69,CRITICO,781,,,,,
08/06/2021,M,60-69,LIEVE,3659,,,,,
08/06/2021,M,60-69,PAUCI-SINTOMATICO,2814,,,,,
08/06/2021,M,60-69,SEVERO,1869,,,,,
08/06/2021,M,70-79,ASINTOMATICO,7041,,,,,
08/06/2021,M,70-79,CRITICO,632,,,,,
08/06/2021,M,70-79,LIEVE,2505,,,,,
08/06/2021,M,70-79,PAUCI-SINTOMATICO,1807,,,,,
08/06/2021,M,70-79,SEVERO,2082,,,,,
08/06/2021,M,80-89,ASINTOMATICO,3697,,,,,
08/06/2021,M,80-89,CRITICO,168,,,,,
08/06/2021,M,80-89,LIEVE,1228,,,,,
08/06/2021,M,80-89,PAUCI-SINTOMATICO,781,,,,,
08/06/2021,M,80-89,SEVERO,1544,,,,,
08/06/2021,M,>90,ASINTOMATICO,828,,,,,
08/06/2021,M,>90,CRITICO,25,,,,,
08/06/2021,M,>90,LIEVE,226,,,,,
08/06/2021,M,>90,PAUCI-SINTOMATICO,157,,,,,
08/06/2021,M,>90,SEVERO,266,,,,,
08/06/2021,M,Non noto,ASINTOMATICO,16,,,,,
08/06/2021,M,Non noto,LIEVE,<5,,,,,
08/06/2021,M,Non noto,PAUCI-SINTOMATICO,<5,,,,,
